                    Description      Avg. Probes #1      Avg. Probes #2     Avg. of 2 runs
--------------------------------------------------------------------------------
Linear Probing, 66 load factor                  16                  16                  16
Double Hashing, 66 load factor                   8                   8                   8
Linear Probing, 80 load factor                  13                  13                  13
Double Hashing, 80 load factor                   7                   7                   7
--------------------------------------------------------------------------------

Hash Table: Linear Probing
--------------------------------------------------------------------------------
|Index|Value|
|-----|-----|
|   0 | 8379|
|   1 | 8887|
|   2 | 7466|
|   3 | 1558|
|   4 | 6846|
|   5 | 9024|
|   6 | 9025|
|   7 | 1561|
|   8 | 3118|
|   9 | 8095|
|  10 | 2498|
|  11 | 9957|
|  12 | 9960|
|  13 | 9646|
|  14 | 9655|
|  15 | 1259|
|  16 | 5303|
|  17 | 2815|
|  18 | 2817|
|  19 | 8105|
|  20 | 5615|
|  21 | 4064|
|  22 | 7788|
|  23 | 1265|
|  24 | 1268|
|  25 | 4363|
|  26 |  936|
|  27 | 8424|
|  28 | 8425|
|  29 |   28|
|  30 | 4681|
|  31 | 5621|
|  32 |  343|
|  33 | 7777|
|  34 | 4699|
|  35 | 9676|
|  36 | 8411|
|  37 | 8921|
|  38 | 3824|
|  39 | 7481|
|  40 | 4394|
|  41 |  663|
|  42 | 5327|
|  43 | 4086|
|  44 | 3775|
|  45 | 3775|
|  46 | 9373|
|  47 | 2224|
|  48 |  666|
|  49 | 1915|
|  50 | 2538|
|  51 | 9063|
|  52 | 1918|
|  53 | 1919|
|  54 | 2229|
|  55 | 5653|
|  56 | 5031|
|  57 | 1602|
|  58 | 2841|
|  59 | 8145|
|  60 | 1926|
|  61 | 9382|
|  62 | 2538|
|  63 | 5039|
|  64 | 8150|
|  65 | 6907|
|  66 | 3796|
|  67 | 2555|
|  68 | 2217|
|  69 | 1599|
|  70 | 9999|
|  71 | 4406|
|  72 | 8158|
|  73 | 3183|
|  74 | 4739|
|  75 | 6917|
|  76 | 1942|
|  77 | 5360|
|  78 |  389|
|  79 | 3500|
|  80 | 1944|
|  81 | 1014|
|  82 |   82|
|  83 | 7234|
|  84 | 5682|
|  85 | 5679|
|  86 | 3807|
|  87 |  386|
|  88 | 6308|
|  89 | 3498|
|  90 | 8798|
|  91 |  712|
|  92 | 1646|
|  93 | 2875|
|  94 | 8180|
|  95 | 8803|
|  96 | 7542|
|  97 | 5384|
|  98 | 4452|
|  99 | 5075|
| 100 | 3209|
| 101 | 9422|
| 102 | 2590|
| 103 | 3524|
| 104 | 1925|
| 105 | 9098|
| 106 | 5071|
| 107 | 8193|
| 108 | 3529|
| 109 | 1042|
| 110 | 2597|
| 111 | 7874|
| 112 |  423|
| 113 | 7576|
| 114 | 3804|
| 115 |  426|
| 116 | 6024|
| 117 | 1671|
| 118 | 2293|
| 119 | 3851|
| 120 | 5717|
| 121 | 3853|
| 122 |  121|
| 123 | 1676|
| 124 | 3539|
| 125 | 4786|
| 126 | 5961|
| 127 | 1993|
| 128 | 7592|
| 129 | 2305|
| 130 |  439|
| 131 | 6662|
| 132 | 2930|
| 133 | 9463|
| 134 | 1378|
| 135 | 1378|
| 136 | 7600|
| 137 |  758|
| 138 | 8839|
| 139 |  756|
| 140 | 9463|
| 141 | 7605|
| 142 | 7606|
| 143 | 4804|
| 144 | 8541|
| 145 | 7608|
| 146 | 2634|
| 147 | 8232|
| 148 | 4501|
| 149 | 2324|
| 150 | 2318|
| 151 | 1687|
| 152 | 1085|
| 153 | 1386|
| 154 | 7307|
| 155 |  777|
| 156 | 2954|
| 157 | 1090|
| 158 | 1713|
| 159 | 1713|
| 160 |  782|
| 161 | 1094|
| 162 | 7604|
| 163 | 1718|
| 164 | 2341|
| 165 | 9806|
| 166 | 2964|
| 167 | 3273|
| 168 |  777|
| 169 | 9810|
| 170 |  460|
| 171 | 2659|
| 172 | 3593|
| 173 | 6393|
| 174 | 3284|
| 175 |  175|
| 176 | 5152|
| 177 | 5464|
| 178 | 1111|
| 179 | 5775|
| 180 | 7953|
| 181 | 1111|
| 182 | 6089|
| 183 | 3282|
| 184 |  137|
| 185 | 6040|
| 186 | 8272|
| 187 | 6712|
| 188 | 2365|
| 189 | 4854|
| 190 | 2668|
| 191 | 2368|
| 192 | 7610|
| 193 | 5480|
| 194 | 1748|
| 195 | 3286|
| 196 | 3271|
| 197 | 7340|
| 198 | 9839|
| 199 | 6108|
| 200 | 4243|
| 201 | 4498|
| 202 | 6093|
| 203 | 5172|
| 204 | 1137|
| 205 |  204|
| 206 | 2692|
| 207 | 2070|
| 208 |  830|
| 209 | 6429|
| 210 | 1143|
| 211 | 3010|
| 212 | 6742|
| 213 | 4253|
| 214 | 1147|
| 215 | 6435|
| 216 | 3014|
| 217 |  833|
| 218 | 1462|
| 219 | 1463|
| 220 | 1464|
| 221 | 2709|
| 222 | 1154|
| 223 | 3642|
| 224 | 2712|
| 225 | 2399|
| 226 | 5198|
| 227 | 3642|
| 228 | 5515|
| 229 | 5515|
| 230 | 1783|
| 231 | 7359|
| 232 | 1787|
| 233 | 1476|
| 234 | 1478|
| 235 | 8855|
| 236 | 2724|
| 237 | 9255|
| 238 | 4281|
| 239 | 7390|
| 240 | 2724|
| 241 | 6145|
| 242 | 9834|
| 243 | 6463|
| 244 | 8641|
| 245 | 7087|
| 246 | 9265|
| 247 | 7089|
| 248 |  248|
| 249 | 7091|
| 250 | 7296|
| 251 | 9581|
| 252 | 5850|
| 253 | 7404|
| 254 | 8651|
| 255 |  538|
| 256 |  567|
| 257 | 5855|
| 258 |  569|
| 259 | 5546|
| 260 | 6166|
| 261 | 8347|
| 262 | 3061|
| 263 | 6793|
| 264 | 5233|
| 265 | 3997|
| 266 | 5553|
| 267 | 6176|
| 268 | 1201|
| 269 | 4623|
| 270 | 8355|
| 271 | 4314|
| 272 | 8968|
| 273 | 2761|
| 274 | 8049|
| 275 | 2139|
| 276 | 2749|
| 277 |  899|
| 278 | 2087|
| 279 | 9538|
| 280 | 1210|
| 281 | 8367|
| 282 | 8318|
| 283 | 2080|
| 284 | 4327|
| 285 | 3395|
| 286 | 5882|
| 287 | 3318|
| 288 | 3801|
| 289 | 3710|
| 290 | 3838|
| 291 | 2656|
| 292 | 1225|
| 293 |  292|
| 294 | 8380|
| 295 | 6515|
| 296 | 1851|
| 297 | 5272|
| 298 | 7448|
| 299 | 8385|
| 300 | 2788|
| 301 | 5583|
| 302 | 2790|
| 303 | 2476|
| 304 | 4655|
| 305 | 4649|
| 306 | 4349|
| 307 | 1540|
| 308 | 8705|
| 309 | 2171|
| 310 |  298|
--------------------------------------------------------------------------------

Hash Table: Linear Probing
--------------------------------------------------------------------------------
|Index|Value|
|-----|-----|
|   0 |    0|
|   1 |    0|
|   2 |    0|
|   3 |    0|
|   4 |    0|
|   5 |    0|
|   6 |    0|
|   7 |    0|
|   8 |    0|
|   9 |    0|
|  10 |    0|
|  11 |    0|
|  12 |    0|
|  13 |    0|
|  14 |    0|
|  15 |    0|
|  16 |    0|
|  17 |    0|
|  18 |    0|
|  19 |    0|
|  20 |    0|
|  21 |    0|
|  22 |    0|
|  23 |    0|
|  24 |    0|
|  25 |    0|
|  26 |    0|
|  27 |    0|
|  28 |    0|
|  29 |    0|
|  30 |    0|
|  31 |    0|
|  32 |    0|
